Reaction ID,Reaction Name,Equation,Compartment,realisticmodelnoaperture_pfba,realisticmodelnoaperture_max,realisticmodelnoaperture_min,realisticmodel_pfba,realisticmodel_max,realisticmodel_min,starchknockoutmodelnoaperture_pfba,starchknockoutmodelnoaperture_max,starchknockoutmodelnoaperture_min,starchknockoutmodel_pfba,starchknockoutmodel_max,starchknockoutmodel_min
EX_X_SO4_t_gc_4,EX_X_SO4_t_gc_4,X_SO4_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_me_1,EX_X_GLC_t_me_1,X_GLC_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_me_2,EX_X_GLC_t_me_2,X_GLC_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_me_3,EX_X_GLC_t_me_3,X_GLC_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_me_4,EX_X_GLC_t_me_4,X_GLC_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_gc_1,EX_X_GLC_t_gc_1,X_GLC_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_gc_2,EX_X_GLC_t_gc_2,X_GLC_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_gc_3,EX_X_GLC_t_gc_3,X_GLC_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_GLC_t_gc_4,EX_X_GLC_t_gc_4,X_GLC_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_me_1,EX_X_NITRATE_t_me_1,X_NITRATE_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_me_2,EX_X_NITRATE_t_me_2,X_NITRATE_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_me_3,EX_X_NITRATE_t_me_3,X_NITRATE_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_me_4,EX_X_NITRATE_t_me_4,X_NITRATE_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_gc_1,EX_X_NITRATE_t_gc_1,X_NITRATE_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_gc_2,EX_X_NITRATE_t_gc_2,X_NITRATE_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_gc_3,EX_X_NITRATE_t_gc_3,X_NITRATE_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NITRATE_t_gc_4,EX_X_NITRATE_t_gc_4,X_NITRATE_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_me_1,EX_X_Ca_t_me_1,X_Ca_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_me_2,EX_X_Ca_t_me_2,X_Ca_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_me_3,EX_X_Ca_t_me_3,X_Ca_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_me_4,EX_X_Ca_t_me_4,X_Ca_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_gc_1,EX_X_Ca_t_gc_1,X_Ca_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_gc_2,EX_X_Ca_t_gc_2,X_Ca_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_gc_3,EX_X_Ca_t_gc_3,X_Ca_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Ca_t_gc_4,EX_X_Ca_t_gc_4,X_Ca_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_me_1,EX_X_H_t_me_1,X_H_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_me_2,EX_X_H_t_me_2,X_H_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_me_3,EX_X_H_t_me_3,X_H_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_me_4,EX_X_H_t_me_4,X_H_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_gc_1,EX_X_H_t_gc_1,X_H_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_gc_2,EX_X_H_t_gc_2,X_H_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_gc_3,EX_X_H_t_gc_3,X_H_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H_t_gc_4,EX_X_H_t_gc_4,X_H_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_me_1,EX_X_NH4_t_me_1,X_NH4_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_me_2,EX_X_NH4_t_me_2,X_NH4_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_me_3,EX_X_NH4_t_me_3,X_NH4_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_me_4,EX_X_NH4_t_me_4,X_NH4_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_gc_1,EX_X_NH4_t_gc_1,X_NH4_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_gc_2,EX_X_NH4_t_gc_2,X_NH4_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_gc_3,EX_X_NH4_t_gc_3,X_NH4_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_NH4_t_gc_4,EX_X_NH4_t_gc_4,X_NH4_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H2O_t_me_1,EX_X_H2O_t_me_1,X_H2O_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H2O_t_me_2,EX_X_H2O_t_me_2,X_H2O_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H2O_t_me_3,EX_X_H2O_t_me_3,X_H2O_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H2O_t_me_4,EX_X_H2O_t_me_4,X_H2O_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H2O_t_gc_1,EX_X_H2O_t_gc_1,X_H2O_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H2O_t_gc_2,EX_X_H2O_t_gc_2,X_H2O_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H2O_t_gc_3,EX_X_H2O_t_gc_3,X_H2O_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_H2O_t_gc_4,EX_X_H2O_t_gc_4,X_H2O_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Biomass_t_me_1,EX_X_Biomass_t_me_1,X_Biomass_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Biomass_t_me_2,EX_X_Biomass_t_me_2,X_Biomass_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Biomass_t_me_3,EX_X_Biomass_t_me_3,X_Biomass_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Biomass_t_me_4,EX_X_Biomass_t_me_4,X_Biomass_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Biomass_t_gc_1,EX_X_Biomass_t_gc_1,X_Biomass_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Biomass_t_gc_2,EX_X_Biomass_t_gc_2,X_Biomass_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Biomass_t_gc_3,EX_X_Biomass_t_gc_3,X_Biomass_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Biomass_t_gc_4,EX_X_Biomass_t_gc_4,X_Biomass_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_Palmitate_b_me_1,EX_Palmitate_b_me_1,Palmitate_b_me_1 <=> ,b_me_1,0.0,NA,NA,0.0,NA,NA,-8.660916778676665e-16,NA,NA,0.0,NA,NA
EX_Palmitate_b_me_2,EX_Palmitate_b_me_2,Palmitate_b_me_2 <=> ,b_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_Palmitate_b_me_3,EX_Palmitate_b_me_3,Palmitate_b_me_3 <=> ,b_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_Palmitate_b_me_4,EX_Palmitate_b_me_4,Palmitate_b_me_4 <=> ,b_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_Palmitate_b_gc_1,EX_Palmitate_b_gc_1,Palmitate_b_gc_1 <=> ,b_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_Palmitate_b_gc_2,EX_Palmitate_b_gc_2,Palmitate_b_gc_2 <=> ,b_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_Palmitate_b_gc_3,EX_Palmitate_b_gc_3,Palmitate_b_gc_3 <=> ,b_gc_3,-2.7637743815572578e-17,NA,NA,0.0,NA,NA,0.0,NA,NA,2.9205202029965166e-12,NA,NA
EX_Palmitate_b_gc_4,EX_Palmitate_b_gc_4,Palmitate_b_gc_4 <=> ,b_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_K_t_me_1,EX_X_K_t_me_1,X_K_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_K_t_me_2,EX_X_K_t_me_2,X_K_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_K_t_me_3,EX_X_K_t_me_3,X_K_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_K_t_me_4,EX_X_K_t_me_4,X_K_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_K_t_gc_1,EX_X_K_t_gc_1,X_K_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_K_t_gc_2,EX_X_K_t_gc_2,X_K_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_K_t_gc_3,EX_X_K_t_gc_3,X_K_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_K_t_gc_4,EX_X_K_t_gc_4,X_K_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Sucrose_t_me_1,EX_X_Sucrose_t_me_1,X_Sucrose_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Sucrose_t_me_2,EX_X_Sucrose_t_me_2,X_Sucrose_t_me_2 <=> ,t_me_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Sucrose_t_me_3,EX_X_Sucrose_t_me_3,X_Sucrose_t_me_3 <=> ,t_me_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Sucrose_t_me_4,EX_X_Sucrose_t_me_4,X_Sucrose_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Sucrose_t_gc_1,EX_X_Sucrose_t_gc_1,X_Sucrose_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Sucrose_t_gc_2,EX_X_Sucrose_t_gc_2,X_Sucrose_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Sucrose_t_gc_3,EX_X_Sucrose_t_gc_3,X_Sucrose_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Sucrose_t_gc_4,EX_X_Sucrose_t_gc_4,X_Sucrose_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Phloem_contribution_t_me_1,EX_X_Phloem_contribution_t_me_1,X_Phloem_contribution_t_me_1 <=> ,t_me_1,2.764954239184262,NA,NA,2.7643363157125713,NA,NA,2.764954239184262,NA,NA,2.764297602798819,NA,NA
EX_X_Phloem_contribution_t_me_2,EX_X_Phloem_contribution_t_me_2,X_Phloem_contribution_t_me_2 <=> ,t_me_2,8.294862717552789,NA,NA,8.293008947137714,NA,NA,8.294862717552785,NA,NA,8.292892808396456,NA,NA
EX_X_Phloem_contribution_t_me_3,EX_X_Phloem_contribution_t_me_3,X_Phloem_contribution_t_me_3 <=> ,t_me_3,8.294862717552787,NA,NA,8.293008947137714,NA,NA,8.294862717552785,NA,NA,8.292892808396457,NA,NA
EX_X_Phloem_contribution_t_me_4,EX_X_Phloem_contribution_t_me_4,X_Phloem_contribution_t_me_4 <=> ,t_me_4,2.764954239184262,NA,NA,2.7643363157125713,NA,NA,2.764954239184262,NA,NA,2.764297602798819,NA,NA
EX_X_Phloem_contribution_t_gc_1,EX_X_Phloem_contribution_t_gc_1,X_Phloem_contribution_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Phloem_contribution_t_gc_2,EX_X_Phloem_contribution_t_gc_2,X_Phloem_contribution_t_gc_2 <=> ,t_gc_2,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Phloem_contribution_t_gc_3,EX_X_Phloem_contribution_t_gc_3,X_Phloem_contribution_t_gc_3 <=> ,t_gc_3,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Phloem_contribution_t_gc_4,EX_X_Phloem_contribution_t_gc_4,X_Phloem_contribution_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_O2_t_me_1,EX_X_O2_t_me_1,X_O2_t_me_1 <=> ,t_me_1,-3.0539007951303483,NA,NA,-3.053114445355676,NA,NA,-3.0539007951302644,NA,NA,-3.0531064261323584,NA,NA
EX_X_O2_t_me_2,EX_X_O2_t_me_2,X_O2_t_me_2 <=> ,t_me_2,117.37970269044112,NA,NA,117.37945319367745,NA,NA,117.37970269043964,NA,NA,117.37943756269907,NA,NA
EX_X_O2_t_me_3,EX_X_O2_t_me_3,X_O2_t_me_3 <=> ,t_me_3,115.66809182107417,NA,NA,115.66676267070588,NA,NA,115.6680918210742,NA,NA,115.66691722163482,NA,NA
EX_X_O2_t_me_4,EX_X_O2_t_me_4,X_O2_t_me_4 <=> ,t_me_4,-3.0719882231659223,NA,NA,-3.0718560334366543,NA,NA,-3.0719882231658344,NA,NA,-3.0718477517483556,NA,NA
EX_X_O2_t_gc_1,EX_X_O2_t_gc_1,X_O2_t_gc_1 <=> ,t_gc_1,-0.002485063573008633,NA,NA,-0.002559473661712209,NA,NA,-0.0024850635545770367,NA,NA,-0.0026294258574670075,NA,NA
EX_X_O2_t_gc_2,EX_X_O2_t_gc_2,X_O2_t_gc_2 <=> ,t_gc_2,0.052770495412843815,NA,NA,-0.31296059522649733,NA,NA,0.05277049541284404,NA,NA,-0.44515355482152025,NA,NA
EX_X_O2_t_gc_3,EX_X_O2_t_gc_3,X_O2_t_gc_3 <=> ,t_gc_3,0.05277049541344038,NA,NA,0.043295898781696145,NA,NA,0.05277049541748988,NA,NA,0.047311670344634946,NA,NA
EX_X_O2_t_gc_4,EX_X_O2_t_gc_4,X_O2_t_gc_4 <=> ,t_gc_4,-0.0025391363244996914,NA,NA,-0.0025629753088192587,NA,NA,-0.0025391363518216105,NA,NA,-0.0026416976520713263,NA,NA
EX_X_Photon_t_me_1,EX_X_Photon_t_me_1,X_Photon_t_me_1 <=> ,t_me_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Photon_t_me_2,EX_X_Photon_t_me_2,X_Photon_t_me_2 <=> ,t_me_2,-1000.0,NA,NA,-1000.0,NA,NA,-1000.0,NA,NA,-1000.0,NA,NA
EX_X_Photon_t_me_3,EX_X_Photon_t_me_3,X_Photon_t_me_3 <=> ,t_me_3,-1000.0,NA,NA,-1000.0,NA,NA,-1000.0,NA,NA,-1000.0,NA,NA
EX_X_Photon_t_me_4,EX_X_Photon_t_me_4,X_Photon_t_me_4 <=> ,t_me_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Photon_t_gc_1,EX_X_Photon_t_gc_1,X_Photon_t_gc_1 <=> ,t_gc_1,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
EX_X_Photon_t_gc_2,EX_X_Photon_t_gc_2,X_Photon_t_gc_2 <=> ,t_gc_2,-0.4620000000000001,NA,NA,-0.4620000000000001,NA,NA,-0.4620000000000001,NA,NA,-0.4620000000000001,NA,NA
EX_X_Photon_t_gc_3,EX_X_Photon_t_gc_3,X_Photon_t_gc_3 <=> ,t_gc_3,-0.4620000000000001,NA,NA,-0.4620000000000001,NA,NA,-0.4620000000000001,NA,NA,-0.4620000000000001,NA,NA
EX_X_Photon_t_gc_4,EX_X_Photon_t_gc_4,X_Photon_t_gc_4 <=> ,t_gc_4,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA
