,fba1,upb1,lob1
EX_X_Ca_t_gc_2,0.0,9715.0,-1000.0
EX_X_Ca_t_gc_3,0.0,9715.0,-1000.0
EX_X_Ca_t_gc_4,0.0,9715.0,-1000.0
EX_X_H_t_me_1,0.0,9715.0,-1000.0
EX_X_H_t_me_2,0.0,9715.0,-1000.0
EX_X_H_t_me_3,0.0,9715.0,-1000.0
EX_X_H_t_me_4,0.0,9715.0,-1000.0
EX_X_H_t_gc_1,0.0,9715.0,-1000.0
EX_X_H_t_gc_2,0.0,9715.0,-1000.0
EX_X_H_t_gc_3,0.0,9715.0,-1000.0
EX_X_H_t_gc_4,0.0,9715.0,-1000.0
EX_X_NH4_t_me_1,0.0,9715.0,-1000.0
EX_X_NH4_t_me_2,0.0,9715.0,-1000.0
EX_X_NH4_t_me_3,0.0,9715.0,-1000.0
EX_X_NH4_t_me_4,0.0,9715.0,-1000.0
EX_X_NH4_t_gc_1,0.0,9715.0,-1000.0
EX_X_NH4_t_gc_2,0.0,9715.0,-1000.0
EX_X_NH4_t_gc_3,0.0,9715.0,-1000.0
EX_X_NH4_t_gc_4,0.0,9715.0,-1000.0
EX_X_H2O_t_me_1,0.0,9715.0,-1000.0
EX_X_H2O_t_me_2,0.0,9715.0,-1000.0
EX_X_H2O_t_me_3,0.0,9715.0,-1000.0
EX_X_H2O_t_me_4,0.0,9715.0,-1000.0
EX_X_H2O_t_gc_1,0.0,9715.0,-1000.0
EX_X_H2O_t_gc_2,0.0,9715.0,-1000.0
EX_X_H2O_t_gc_3,0.0,9715.0,-1000.0
EX_X_H2O_t_gc_4,0.0,9715.0,-1000.0
EX_X_Biomass_t_me_1,0.0,9715.0,-1000.0
EX_X_Biomass_t_me_2,0.0,9715.0,-1000.0
EX_X_Biomass_t_me_3,0.0,9715.0,-1000.0
EX_X_Biomass_t_me_4,0.0,9715.0,-1000.0
EX_X_Biomass_t_gc_1,0.0,9715.0,-1000.0
EX_X_Biomass_t_gc_2,0.0,9715.0,-1000.0
EX_X_Biomass_t_gc_3,0.0,9715.0,-1000.0
EX_X_Biomass_t_gc_4,0.0,9715.0,-1000.0
EX_Palmitate_b_me_1,0.0,9715.0,-1000.0
EX_Palmitate_b_me_2,5.3370229058228806e-18,9715.0,-1000.0
EX_Palmitate_b_me_3,0.0,9715.0,-1000.0
EX_Palmitate_b_me_4,0.0,9715.0,-1000.0
EX_Palmitate_b_gc_1,0.0,9715.0,-1000.0
EX_Palmitate_b_gc_2,0.0,9715.0,-1000.0
EX_Palmitate_b_gc_3,-9.6268928895177e-18,9715.0,-1000.0
EX_Palmitate_b_gc_4,0.0,9715.0,-1000.0
EX_X_K_t_me_1,0.0,9715.0,-1000.0
EX_X_K_t_me_2,0.0,9715.0,-1000.0
EX_X_K_t_me_3,0.0,9715.0,-1000.0
EX_X_K_t_me_4,0.0,9715.0,-1000.0
EX_X_K_t_gc_1,0.0,9715.0,-1000.0
EX_X_K_t_gc_2,0.0,9715.0,-1000.0
EX_X_K_t_gc_3,0.0,9715.0,-1000.0
EX_X_K_t_gc_4,0.0,9715.0,-1000.0
EX_X_Sucrose_t_me_1,0.0,9715.0,-1000.0
EX_X_Sucrose_t_me_2,0.0,9715.0,-1000.0
EX_X_Sucrose_t_me_3,0.0,9715.0,-1000.0
EX_X_Sucrose_t_me_4,0.0,9715.0,-1000.0
EX_X_Sucrose_t_gc_1,0.0,9715.0,-1000.0
EX_X_Sucrose_t_gc_2,0.0,9715.0,-1000.0
EX_X_Sucrose_t_gc_3,0.0,9715.0,-1000.0
EX_X_Sucrose_t_gc_4,0.0,9715.0,-1000.0
EX_X_Phloem_contribution_t_me_1,2.764387790313594,9715.0,-1000.0
EX_X_Phloem_contribution_t_me_2,8.293163370940782,9715.0,-1000.0
EX_X_Phloem_contribution_t_me_3,8.293163370940782,9715.0,-1000.0
EX_X_Phloem_contribution_t_me_4,2.764387790313594,9715.0,-1000.0
EX_X_Phloem_contribution_t_gc_1,0.0,9715.0,-1000.0
EX_X_Phloem_contribution_t_gc_2,0.0,9715.0,-1000.0
EX_X_Phloem_contribution_t_gc_3,0.0,9715.0,-1000.0
EX_X_Phloem_contribution_t_gc_4,0.0,9715.0,-1000.0
EX_X_O2_t_me_1,-3.0531251081108324,9715.0,-1000.0
EX_X_O2_t_me_2,117.37947397739818,9715.0,-1000.0
EX_X_O2_t_me_3,115.66675158970462,9715.0,-1000.0
EX_X_O2_t_me_4,-3.0718670451782115,9715.0,-1000.0
EX_X_O2_t_gc_1,-0.002587183638722235,9715.0,-1000.0
EX_X_O2_t_gc_2,-0.30996461635356437,9715.0,-1000.0
EX_X_O2_t_gc_3,0.04540649192282635,9715.0,-1000.0
EX_X_O2_t_gc_4,-0.002591830868565288,9715.0,-1000.0
EX_X_Photon_t_me_1,0.0,9715.0,-1000.0
EX_X_Photon_t_me_2,-1000.0,9715.0,-1000.0
EX_X_Photon_t_me_3,-1000.0,9715.0,-1000.0
EX_X_Photon_t_me_4,0.0,9715.0,-1000.0
EX_X_Photon_t_gc_1,0.0,9715.0,-1000.0
EX_X_Photon_t_gc_2,-0.48,9715.0,-1000.0
EX_X_Photon_t_gc_3,-0.48000000000000004,9715.0,-1000.0
EX_X_Photon_t_gc_4,0.0,9715.0,-1000.0
PRO_PROTON_vc_me_1,0.0,9715.0,0.0
PRO_PROTON_vc_me_2,0.0,9715.0,0.0
PRO_PROTON_vc_me_3,0.0012076876611398673,9715.0,0.0
PRO_PROTON_vc_me_4,0.0,9715.0,0.0
PRO_PROTON_vc_gc_1,0.0,9715.0,0.0
PRO_PROTON_vc_gc_2,0.0,9715.0,0.0
PRO_PROTON_vc_gc_3,-2.084004263878331e-12,9715.0,0.0
PRO_PROTON_vc_gc_4,0.0,9715.0,0.0
H2O_xc_me_1,1.187713679607319e-15,9715.0,-1000.0
H2O_xc_me_2,1.4600856384252844e-17,9715.0,-1000.0
H2O_xc_me_3,0.0,9715.0,-1000.0
H2O_xc_me_4,1.2639369644176747e-16,9715.0,-1000.0
H2O_xc_gc_1,0.0,9715.0,-1000.0
H2O_xc_gc_2,0.0,9715.0,-1000.0
H2O_xc_gc_3,-1.2018433346948462e-19,9715.0,-1000.0
H2O_xc_gc_4,0.0,9715.0,-1000.0
sCIT_biomass_me_1,0.0,0.0,-1000.0
sCIT_biomass_me_2,0.0,0.0,-1000.0
sCIT_biomass_me_3,0.0,0.0,-1000.0
sCIT_biomass_me_4,0.0,0.0,-1000.0
sCIT_biomass_gc_1,0.0,0.0,-1000.0
sCIT_biomass_gc_2,0.0,0.0,-1000.0
sCIT_biomass_gc_3,0.0,0.0,-1000.0
sCIT_biomass_gc_4,0.0,0.0,-1000.0
ACETYLGLUTKIN_RXN_p_me_1,0.0,9715.0,0.0
ACETYLGLUTKIN_RXN_p_me_2,0.03124891823199409,9715.0,0.0
ACETYLGLUTKIN_RXN_p_me_3,0.0034721020257771234,9715.0,0.0
ACETYLGLUTKIN_RXN_p_me_4,0.0,9715.0,0.0
ACETYLGLUTKIN_RXN_p_gc_1,0.0,9715.0,0.0
ACETYLGLUTKIN_RXN_p_gc_2,0.0,9715.0,0.0
ACETYLGLUTKIN_RXN_p_gc_3,-3.664606892073458e-17,9715.0,0.0
ACETYLGLUTKIN_RXN_p_gc_4,0.0,9715.0,0.0
2KG_OAA_mc_me_1,0.0,9715.0,-1000.0
2KG_OAA_mc_me_2,0.0,9715.0,-1000.0
2KG_OAA_mc_me_3,0.0,9715.0,-1000.0
2KG_OAA_mc_me_4,0.0,9715.0,-1000.0
2KG_OAA_mc_gc_1,-0.0003208775485422703,9715.0,-1000.0
2KG_OAA_mc_gc_2,-0.021453039464364384,9715.0,-1000.0
2KG_OAA_mc_gc_3,0.0,9715.0,-1000.0
2KG_OAA_mc_gc_4,-0.00030428202892789465,9715.0,-1000.0
LEUCINE_TRNA_LIGASE_RXN_c_me_1,0.0,9715.0,0.0
LEUCINE_TRNA_LIGASE_RXN_c_me_2,0.0,9715.0,0.0
LEUCINE_TRNA_LIGASE_RXN_c_me_3,0.0,9715.0,0.0
LEUCINE_TRNA_LIGASE_RXN_c_me_4,0.0,9715.0,0.0
LEUCINE_TRNA_LIGASE_RXN_c_gc_1,0.0,9715.0,0.0
LEUCINE_TRNA_LIGASE_RXN_c_gc_2,0.0,9715.0,0.0
LEUCINE_TRNA_LIGASE_RXN_c_gc_3,0.0,9715.0,0.0
LEUCINE_TRNA_LIGASE_RXN_c_gc_4,0.0,9715.0,0.0
DIAMINOPIMDECARB_RXN_p_me_1,0.0,9715.0,0.0
DIAMINOPIMDECARB_RXN_p_me_2,0.16553482663530453,9715.0,0.0
DIAMINOPIMDECARB_RXN_p_me_3,0.01839275851503396,9715.0,0.0
DIAMINOPIMDECARB_RXN_p_me_4,0.0,9715.0,0.0
DIAMINOPIMDECARB_RXN_p_gc_1,0.0,9715.0,0.0
DIAMINOPIMDECARB_RXN_p_gc_2,0.0,9715.0,0.0
DIAMINOPIMDECARB_RXN_p_gc_3,0.0,9715.0,0.0
DIAMINOPIMDECARB_RXN_p_gc_4,0.0,9715.0,0.0
ASPARTATE_TRNA_LIGASE_RXN_c_me_1,0.0,9715.0,0.0
ASPARTATE_TRNA_LIGASE_RXN_c_me_2,0.0,9715.0,0.0
ASPARTATE_TRNA_LIGASE_RXN_c_me_3,0.0,9715.0,0.0
ASPARTATE_TRNA_LIGASE_RXN_c_me_4,0.0,9715.0,0.0
ASPARTATE_TRNA_LIGASE_RXN_c_gc_1,0.0,9715.0,0.0
ASPARTATE_TRNA_LIGASE_RXN_c_gc_2,0.0,9715.0,0.0
ASPARTATE_TRNA_LIGASE_RXN_c_gc_3,0.0,9715.0,0.0
ASPARTATE_TRNA_LIGASE_RXN_c_gc_4,0.0,9715.0,0.0
F16ALDOLASE_RXN_p_me_1,0.00631860097950387,9715.0,-1000.0
F16ALDOLASE_RXN_p_me_2,-45.53022461818862,9715.0,-1000.0
F16ALDOLASE_RXN_p_me_3,-38.561212940822415,9715.0,-1000.0
F16ALDOLASE_RXN_p_me_4,0.05192513514742025,9715.0,-1000.0
F16ALDOLASE_RXN_p_gc_1,0.0,9715.0,-1000.0
F16ALDOLASE_RXN_p_gc_2,6.555094853518697e-14,9715.0,-1000.0
F16ALDOLASE_RXN_p_gc_3,-0.02293643116789564,9715.0,-1000.0
F16ALDOLASE_RXN_p_gc_4,0.0,9715.0,-1000.0
RXN_7978_p_me_1,0.0,9715.0,0.0
RXN_7978_p_me_2,0.0,9715.0,0.0
RXN_7978_p_me_3,0.0,9715.0,0.0
RXN_7978_p_me_4,0.0,9715.0,0.0
RXN_7978_p_gc_1,0.0,9715.0,0.0
RXN_7978_p_gc_2,0.0,9715.0,0.0
RXN_7978_p_gc_3,0.0,9715.0,0.0
RXN_7978_p_gc_4,0.0,9715.0,0.0
Photon_tx_me_1,0.0,0.0,0.0
Photon_tx_me_2,1000.0,9715.0,0.0
Photon_tx_me_3,1000.0,9715.0,0.0
Photon_tx_me_4,0.0,0.0,0.0
Photon_tx_gc_1,0.0,0.0,0.0
Photon_tx_gc_2,0.48,0.48,0
Photon_tx_gc_3,0.48,0.48,0
Photon_tx_gc_4,0.0,0.0,0.0
2_METHYL_ACETO_ACETYL_COA_xc_me_1,0.0,9715.0,-1000.0
2_METHYL_ACETO_ACETYL_COA_xc_me_2,-2.8381809251599852e-18,9715.0,-1000.0
2_METHYL_ACETO_ACETYL_COA_xc_me_3,4.4621446241366574e-17,9715.0,-1000.0
2_METHYL_ACETO_ACETYL_COA_xc_me_4,0.0,9715.0,-1000.0
2_METHYL_ACETO_ACETYL_COA_xc_gc_1,0.0,9715.0,-1000.0
2_METHYL_ACETO_ACETYL_COA_xc_gc_2,0.0,9715.0,-1000.0
2_METHYL_ACETO_ACETYL_COA_xc_gc_3,0.0,9715.0,-1000.0
2_METHYL_ACETO_ACETYL_COA_xc_gc_4,0.0,9715.0,-1000.0
F16ALDOLASE_RXN_c_me_1,0.2621238583061975,9715.0,-1000.0
F16ALDOLASE_RXN_c_me_2,-8.204221696075452,9715.0,-1000.0
F16ALDOLASE_RXN_c_me_3,-18.130818667922536,9715.0,-1000.0
F16ALDOLASE_RXN_c_me_4,0.24653478018372527,9715.0,-1000.0
F16ALDOLASE_RXN_c_gc_1,5.836050596875598e-06,9715.0,-1000.0
F16ALDOLASE_RXN_c_gc_2,0.3366741766236395,9715.0,-1000.0
F16ALDOLASE_RXN_c_gc_3,-0.01187602148049845,9715.0,-1000.0
F16ALDOLASE_RXN_c_gc_4,0.0,9715.0,-1000.0
RXN_9532_p_me_1,0.0,9715.0,0.0
RXN_9532_p_me_2,-6.052550238484186e-19,9715.0,0.0
RXN_9532_p_me_3,0.0,9715.0,0.0
RXN_9532_p_me_4,0.0,9715.0,0.0
RXN_9532_p_gc_1,0.0,9715.0,0.0
RXN_9532_p_gc_2,0.0,9715.0,0.0
RXN_9532_p_gc_3,-9.626892889517697e-18,9715.0,0.0
RXN_9532_p_gc_4,0.0,9715.0,0.0
RXN_5642_c_me_1,0.0,9715.0,0.0
RXN_5642_c_me_2,0.0,9715.0,0.0
RXN_5642_c_me_3,0.0,9715.0,0.0
RXN_5642_c_me_4,0.0,9715.0,0.0
RXN_5642_c_gc_1,0.0,9715.0,0.0
RXN_5642_c_gc_2,0.0,9715.0,0.0
RXN_5642_c_gc_3,0.0,9715.0,0.0
RXN_5642_c_gc_4,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_p_me_1,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_p_me_2,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_p_me_3,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_p_me_4,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_p_gc_1,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_p_gc_2,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_p_gc_3,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_p_gc_4,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_m_me_1,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_m_me_2,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_m_me_3,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_m_me_4,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_m_gc_1,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_m_gc_2,0.0,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_m_gc_3,-3.8507571556755566e-17,9715.0,0.0
L_ASCORBATE_PEROXIDASE_RXN_m_gc_4,0.0,9715.0,0.0
SER_PROTON_vc_me_1,0.0,9715.0,0.0
SER_PROTON_vc_me_2,0.0,9715.0,0.0
SER_PROTON_vc_me_3,0.0,9715.0,0.0
SER_PROTON_vc_me_4,0.0,9715.0,0.0
SER_PROTON_vc_gc_1,0.0,9715.0,0.0
SER_PROTON_vc_gc_2,0.02145303946436439,9715.0,0.0
SER_PROTON_vc_gc_3,0.0,9715.0,0.0
SER_PROTON_vc_gc_4,0.0,9715.0,0.0
PYRUVATE_PROTON_mc_me_1,-0.8452229043847566,9715.0,-1000.0
PYRUVATE_PROTON_mc_me_2,0.0,9715.0,-1000.0
PYRUVATE_PROTON_mc_me_3,0.0,9715.0,-1000.0
PYRUVATE_PROTON_mc_me_4,-0.9887348257519354,9715.0,-1000.0
PYRUVATE_PROTON_mc_gc_1,-0.00032087754854228366,9715.0,-1000.0
PYRUVATE_PROTON_mc_gc_2,-0.10559832589324285,9715.0,-1000.0
PYRUVATE_PROTON_mc_gc_3,-3.850757155675555e-17,9715.0,-1000.0
PYRUVATE_PROTON_mc_gc_4,-0.0003042820063590072,9715.0,-1000.0
NADH_DEHYDROG_A_RXN_mi_me_1,2.989060176052926,9715.0,0.0
NADH_DEHYDROG_A_RXN_mi_me_2,12.679352045203622,9715.0,0.0
NADH_DEHYDROG_A_RXN_mi_me_3,16.1047968205909,9715.0,0.0
NADH_DEHYDROG_A_RXN_mi_me_4,3.1896719406617393,9715.0,0.0
NADH_DEHYDROG_A_RXN_mi_gc_1,0.001748133294868994,9715.0,0.0
NADH_DEHYDROG_A_RXN_mi_gc_2,0.6433947608474406,9715.0,0.0
NADH_DEHYDROG_A_RXN_mi_gc_3,0.02654628282101413,9715.0,0.0
NADH_DEHYDROG_A_RXN_mi_gc_4,0.001727887217565726,9715.0,0.0
L_ALPHA_ALANINE_PROTON_vc_me_1,0.0,9715.0,0.0
L_ALPHA_ALANINE_PROTON_vc_me_2,0.0,9715.0,0.0
L_ALPHA_ALANINE_PROTON_vc_me_3,0.0,9715.0,0.0
L_ALPHA_ALANINE_PROTON_vc_me_4,0.0,9715.0,0.0
L_ALPHA_ALANINE_PROTON_vc_gc_1,0.0,9715.0,0.0
L_ALPHA_ALANINE_PROTON_vc_gc_2,0.0,9715.0,0.0
L_ALPHA_ALANINE_PROTON_vc_gc_3,0.0,9715.0,0.0
L_ALPHA_ALANINE_PROTON_vc_gc_4,0.0,9715.0,0.0
NADH_DEHYDROG_A_RXN_mc_me_1,0.0,9715.0,0.0
NADH_DEHYDROG_A_RXN_mc_me_2,0.0,9715.0,0.0
NADH_DEHYDROG_A_RXN_mc_me_3,1.2390560148381365e-18,9715.0,0.0
NADH_DEHYDROG_A_RXN_mc_me_4,0.0,9715.0,0.0
NADH_DEHYDROG_A_RXN_mc_gc_1,0.0,9715.0,0.0
NADH_DEHYDROG_A_RXN_mc_gc_2,0.0,9715.0,0.0
NADH_DEHYDROG_A_RXN_mc_gc_3,0.0,9715.0,0.0
NADH_DEHYDROG_A_RXN_mc_gc_4,0.0,9715.0,0.0
ACETYL_COA_ACETYLTRANSFER_RXN_x_me_1,0.0,9715.0,0.0
ACETYL_COA_ACETYLTRANSFER_RXN_x_me_2,0.0,9715.0,0.0
ACETYL_COA_ACETYLTRANSFER_RXN_x_me_3,0.0,9715.0,0.0
ACETYL_COA_ACETYLTRANSFER_RXN_x_me_4,0.0,9715.0,0.0
ACETYL_COA_ACETYLTRANSFER_RXN_x_gc_1,0.0,9715.0,0.0
ACETYL_COA_ACETYLTRANSFER_RXN_x_gc_2,0.0,9715.0,0.0
ACETYL_COA_ACETYLTRANSFER_RXN_x_gc_3,0.0,9715.0,0.0
ACETYL_COA_ACETYLTRANSFER_RXN_x_gc_4,0.0,9715.0,0.0
pTHR_biomass_me_1,0.0,0.0,-1000.0
pTHR_biomass_me_2,0.0,0.0,-1000.0
pTHR_biomass_me_3,0.0,0.0,-1000.0
pTHR_biomass_me_4,0.0,0.0,-1000.0
pTHR_biomass_gc_1,0.0,0.0,-1000.0
pTHR_biomass_gc_2,0.0,0.0,-1000.0
pTHR_biomass_gc_3,0.0,0.0,-1000.0
pTHR_biomass_gc_4,0.0,0.0,-1000.0
Starch_biomass_me_1,0.0,0.0,-1000.0
Starch_biomass_me_2,0.0,0.0,-1000.0
Starch_biomass_me_3,0.0,0.0,-1000.0
Starch_biomass_me_4,0.0,0.0,-1000.0
Starch_biomass_gc_1,0.0,0.0,-1000.0
Starch_biomass_gc_2,0.0,0.0,-1000.0
Starch_biomass_gc_3,0.0,0.0,-1000.0
Starch_biomass_gc_4,0.0,0.0,-1000.0
MAL_Pi_mc_me_1,0.0,9715.0,-1000.0
MAL_Pi_mc_me_2,0.0,9715.0,-1000.0
MAL_Pi_mc_me_3,0.0,9715.0,-1000.0
MAL_Pi_mc_me_4,0.0,9715.0,-1000.0
MAL_Pi_mc_gc_1,-2.27647839478426e-18,9715.0,-1000.0
MAL_Pi_mc_gc_2,0.0,9715.0,-1000.0
MAL_Pi_mc_gc_3,0.0,9715.0,-1000.0
MAL_Pi_mc_gc_4,-3.994341409693452e-12,9715.0,-1000.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_me_1,0.0,9715.0,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_me_2,0.0,9715.0,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_me_3,0.0,9715.0,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_me_4,0.0,9715.0,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_gc_1,0.0,9715.0,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_gc_2,0.0,9715.0,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_gc_3,0.0,9715.0,0.0
ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x_gc_4,0.0,9715.0,0.0
RXN_9663_p_me_1,0.0,9715.0,0.0
RXN_9663_p_me_2,5.33702290582288e-18,9715.0,0.0
RXN_9663_p_me_3,0.0,9715.0,0.0
RXN_9663_p_me_4,0.0,9715.0,0.0
RXN_9663_p_gc_1,0.0,9715.0,0.0
RXN_9663_p_gc_2,0.0,9715.0,0.0
RXN_9663_p_gc_3,-9.626892889517702e-18,9715.0,0.0
RXN_9663_p_gc_4,0.0,9715.0,0.0
H_pc_me_1,0.004191546664389649,9715.0,-1000.0
H_pc_me_2,10.210614318553674,9715.0,-1000.0
H_pc_me_3,21.479949058419482,9715.0,-1000.0
H_pc_me_4,0.0,9715.0,-1000.0
H_pc_gc_1,0.0,9715.0,-1000.0
H_pc_gc_2,-0.15428571428294752,9715.0,-1000.0
H_pc_gc_3,0.012289812439710298,9715.0,-1000.0
H_pc_gc_4,0.0,9715.0,-1000.0
H_mc_me_1,0.0,9715.0,0.0
H_mc_me_2,0.0,9715.0,0.0
H_mc_me_3,0.0,9715.0,0.0
H_mc_me_4,0.0013763278641674588,9715.0,0.0
H_mc_gc_1,0.0,9715.0,0.0
H_mc_gc_2,0.0,9715.0,0.0
H_mc_gc_3,2.8529534826349294e-12,9715.0,0.0
H_mc_gc_4,-2.3170512321853728e-11,9715.0,0.0
2_METHYL_3_HYDROXY_BUTYRYL_COA_mc_me_1,0.0,9715.0,-1000.0
2_METHYL_3_HYDROXY_BUTYRYL_COA_mc_me_2,-2.8381809251599837e-18,9715.0,-1000.0
2_METHYL_3_HYDROXY_BUTYRYL_COA_mc_me_3,0.0,9715.0,-1000.0
2_METHYL_3_HYDROXY_BUTYRYL_COA_mc_me_4,0.0,9715.0,-1000.0
2_METHYL_3_HYDROXY_BUTYRYL_COA_mc_gc_1,0.0,9715.0,-1000.0
2_METHYL_3_HYDROXY_BUTYRYL_COA_mc_gc_2,0.0,9715.0,-1000.0
2_METHYL_3_HYDROXY_BUTYRYL_COA_mc_gc_3,0.0,9715.0,-1000.0
2_METHYL_3_HYDROXY_BUTYRYL_COA_mc_gc_4,0.0,9715.0,-1000.0
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_me_1,0.0,9715.0,0.0
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_me_2,111.21330169931942,9715.0,0.0
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_me_3,114.36868716179528,9715.0,0.0
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_me_4,0.0,9715.0,0.0
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_gc_1,0.0,9715.0,0.0
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_gc_2,0.0,9715.0,0.0
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_gc_3,0.04494012149386835,9715.0,0.0
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p_gc_4,0.0,9715.0,0.0
IGPSYN_RXN_p_me_1,0.0,9715.0,0.0
IGPSYN_RXN_p_me_2,0.03124891823199407,9715.0,0.0
IGPSYN_RXN_p_me_3,0.0034721020257771243,9715.0,0.0
IGPSYN_RXN_p_me_4,0.0,9715.0,0.0
IGPSYN_RXN_p_gc_1,0.0,9715.0,0.0
IGPSYN_RXN_p_gc_2,0.0,9715.0,0.0
IGPSYN_RXN_p_gc_3,5.081878030827516e-12,9715.0,0.0
IGPSYN_RXN_p_gc_4,-9.740266225752758e-12,9715.0,0.0
5_METHYL_THF_pc_me_1,0.0,9715.0,-1000.0
5_METHYL_THF_pc_me_2,0.0,9715.0,-1000.0
